Name,Company,Company Website,LinkedIn
Sailesh Tulshan,021 Capital,https://021.capital/,https://www.linkedin.com/in/st5
Abhishant Pant,Aagama Ventures,https://aagama.vc/,https://www.linkedin.com/in/abhishantpant
Shubhanga Prasad,Aagama Ventures,https://aagama.vc/,https://www.linkedin.com/in/shubhangaprasad
Jay Desai,Allvest,https://www.allvest.co/,https://www.linkedin.com/in/jay-desai-ab82753b2
Amit Bansal,Allvest,https://www.allvest.co/,https://www.linkedin.com/in/amit-bansal-0802394
Vishal Bakshi,Avatar Growth Capital,https://www.avatargcp.com/,https://www.linkedin.com/in/vishal-bakshi-52927b
Abhay Havaldar,Avatar Growth Capital,https://www.avatargcp.com/,https://www.linkedin.com/in/abhay-havaldar-a4a46523
Zubin Mehta,Breathe Capital,https://breathecap.com/,https://www.linkedin.com/in/zubin-mehta-a4bbb81
Shauraya Bhutani,Breathe Capital,https://breathecap.com/,https://www.linkedin.com/in/shaurayab
Rahul Mahipal,Capitar Ventures,https://capitar.in/,https://www.linkedin.com/in/mahipalrahul
Davesh Manocha,CDM Capital,https://cdmcapital.in/,https://www.linkedin.com/in/daveshmanocha
Vidhi Jain,CDM Capital,https://cdmcapital.in/,https://www.linkedin.com/in/vidhijain1304
Sri Purisai,Chakra Fund,https://chakra.fund/,https://www.linkedin.com/in/sripurisai
Maya Gadhvi,Chakra Fund,https://chakra.fund/,https://www.linkedin.com/in/mayapgadhvi
Mr. Ajit Deshmukh,Equirus Ventures,https://equirus.vc/,https://www.linkedin.com/in/ajit-deshmukh-9020502a
Mr. Krishna Jha,Equirus Ventures,https://equirus.vc/,https://www.linkedin.com/in/krishnajha
Aditya Parekh,Faering Capital,https://www.faeringcapital.com/,https://www.linkedin.com/in/aditya-parekh-7333901a
Anil Saldanha,Fundalogical Ventures,https://fundalogical.com/,https://www.linkedin.com/in/anil-saldanha-721bb51b5
Shrikant Goyal,GetFive,https://getfive.in/,https://www.linkedin.com/in/shrikant-goyal
Ravi Kapoor,Indusbridge Ventures,https://www.indusbridgeventures.com/,https://www.linkedin.com/in/ravi-kapoor-5547a896
Rahul Devjani,Indusbridge Ventures,https://www.indusbridgeventures.com/,https://www.linkedin.com/in/rahul-devjani-59b133
Jasmeet Chhabra,IXP Lifesciences,https://ixplifesciences.com/,https://www.linkedin.com/in/jasmeet-singh-chhabra-1892721
Krishnakumar Natarajan,Mela Ventures,https://melaventures.in/,https://www.linkedin.com/in/krishnakumarnatarajan
Narayanan Muralidharan,Morphosis Ventures,https://www.morphosisvc.in/,https://www.linkedin.com/in/narayanan-muralidharan-8ba51651
Kartik Chandra,Morphosis Ventures,https://www.morphosisvc.in/,https://www.linkedin.com/in/kartikchandra
Dayakar Puskoor,Naya Ventures,https://nayaventures.com/,https://www.linkedin.com/in/dayakarp
Aditya Kedia,Pivot Ventures,https://www.pivotventures.in/,https://www.linkedin.com/in/aditya-kedia-7257181b5
Mr. Pankaj Razdan,Revanta Capital,https://revantacapital.com/,https://www.linkedin.com/in/pankajrazdan
Mr. Vikas Gautam,Revanta Capital,https://revantacapital.com/,https://www.linkedin.com/in/vikas-gautam-5304407
Ghanshyam Ahuja,Thinkuvate,https://thinkuvate.com/,https://www.linkedin.com/in/ghanshyam-ahuja-1147487
Addison Appu,Thinkuvate,https://thinkuvate.com/,https://www.linkedin.com/in/addison-appu-6a9a34a
Shylaja Rao,Ventana Ventures,https://www.ventanaventures.in/,https://www.linkedin.com/in/shylaja-rao-3a830b15
Poornima Nayak,Ventana Ventures,https://www.ventanaventures.in/,https://www.linkedin.com/in/poornima-g-nayak
Shapath Parikh,White Whale,https://www.whitewhale.in/,https://www.linkedin.com/in/shapath-parikh-759211
Kunal Vora,White Whale,https://www.whitewhale.in/,https://www.linkedin.com/in/kunal-vora-65b427
